timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 1.30448, 0.62403,-0.56965, 0.08334, 4.37090,-1.45644, 1.98088
 1.30974, 0.61858,-0.57722, 0.09272, 4.32173,-1.45375, 1.97920
 1.31084, 0.61317,-0.58460, 0.10200, 4.27487,-1.44865, 1.97949
 1.31193, 0.60779,-0.59174, 0.11128, 4.23077,-1.44195, 1.98147
 1.31301, 0.60246,-0.59861, 0.12052, 4.18832,-1.43358, 1.98517
 1.31410, 0.59724,-0.60519, 0.12962, 4.14643,-1.42279, 1.98997
 1.31519, 0.59214,-0.61146, 0.13855, 4.10470,-1.40875, 1.99513
 1.31628, 0.58710,-0.61749, 0.14739, 4.06336,-1.39128, 2.00098
 1.31736, 0.58209,-0.62337, 0.15615, 4.02288,-1.37147, 2.00768
 1.31845, 0.57711,-0.62910, 0.16477, 3.98345,-1.35030, 2.01450
 1.31954, 0.60016,-0.58843, 0.15204, 3.95245,-1.32619, 2.01946
 1.32477, 0.59515,-0.59524, 0.16110, 3.91350,-1.29810, 2.01866
 1.32586, 0.59019,-0.60202, 0.17023, 3.87338,-1.26999, 2.01536
 1.32695, 0.58525,-0.60877, 0.17937, 3.83245,-1.24208, 2.00976
 1.32804, 0.58030,-0.61550, 0.18851, 3.79098,-1.21452, 2.00177
 1.32914, 0.57535,-0.62220, 0.19763, 3.74909,-1.18756, 1.99132
 1.33023, 0.57039,-0.62887, 0.20672, 3.70695,-1.16134, 1.97852
 1.33133, 0.56540,-0.63552, 0.21574, 3.66463,-1.13592, 1.96347
 1.33242, 0.56038,-0.64219, 0.22471, 3.62195,-1.11142, 1.94611
 1.33351, 0.55529,-0.64889, 0.23363, 3.57891,-1.08829, 1.92641
 1.33459, 0.55015,-0.65559, 0.24250, 3.53551,-1.06670, 1.90443
 1.33568, 0.54497,-0.66230, 0.25130, 3.49886,-1.05368, 1.87954
 1.33677, 0.56028,-0.64234, 0.24559, 3.46142,-1.04209, 1.85283
 1.34204, 0.55496,-0.65027, 0.25386, 3.41772,-1.03016, 1.81781
 1.34312, 0.54965,-0.65810, 0.26203, 3.37335,-1.01820, 1.78090
 1.34421, 0.54433,-0.66582, 0.27009, 3.32955,-1.00674, 1.74291
 1.34529, 0.53902,-0.67341, 0.27806, 3.28658,-0.99662, 1.70442
 1.34638, 0.53371,-0.68085, 0.28597, 3.24389,-0.98787, 1.66530
 1.34747, 0.52841,-0.68813, 0.29380, 3.20093,-0.97948, 1.62555
 1.34855, 0.52313,-0.69523, 0.30155, 3.15762,-0.97066, 1.58579
 1.34964, 0.51787,-0.70216, 0.30922, 3.11407,-0.96155, 1.54658
 1.35073, 0.51265,-0.70889, 0.31680, 3.07847,-0.95503, 1.51221
 1.35182, 0.53805,-0.68177, 0.30373, 3.04354,-0.94726, 1.47926
 1.35710, 0.53334,-0.68828, 0.31050, 3.00196,-0.92943, 1.44824
 1.35819, 0.52876,-0.69448, 0.31706, 2.96042,-0.90939, 1.41912
 1.35928, 0.52433,-0.70038, 0.32339, 2.91926,-0.88733, 1.39195
 1.36037, 0.52004,-0.70598, 0.32948, 2.87860,-0.86335, 1.36672
 1.36146, 0.51589,-0.71129, 0.33530, 2.83858,-0.83762, 1.34345
 1.36254, 0.51191,-0.71630, 0.34085, 2.79921,-0.81012, 1.32236
 1.36363, 0.50809,-0.72103, 0.34611, 2.76030,-0.78049, 1.30349
 1.36472, 0.50441,-0.72550, 0.35109, 2.72187,-0.74873, 1.28679
 1.36580, 0.50089,-0.72971, 0.35578, 2.68418,-0.71512, 1.27215
 1.36689, 0.49750,-0.73368, 0.36020, 2.64713,-0.67978, 1.25958
 1.36798, 0.51757,-0.71297, 0.34604, 2.61588,-0.64389, 1.25575
 1.37324, 0.51479,-0.71634, 0.34867, 2.58372,-0.60071, 1.25522
 1.37432, 0.51212,-0.71954, 0.35105, 2.55275,-0.55686, 1.25618
 1.37541, 0.50956,-0.72260, 0.35316, 2.52283,-0.51285, 1.25835
 1.37650, 0.50710,-0.72553, 0.35504, 2.49405,-0.46894, 1.26133
